year,month,origin,blend,roast_level,type,sales,unit_price
2014,1,Colombia,Single,medium,Seasonal,80.0,9.1
2014,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1402.75,10.381833333333333
2014,1,Ethiopia,Single,medium,Seasonal,151.5,9.117264957264954
2014,1,Haiti,Single,dark,Evergreen,416.75,28.536414565826323
2014,1,Kenya,Single,medium,Seasonal,25.0,8.406
2014,1,Mexico,Single,medium,Seasonal,122.25,9.165483870967742
2014,1,Panama,Single,light,Seasonal,134.25,19.268387096774195
2014,2,Colombia,Single,medium,Seasonal,60.0,9.1
2014,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1504.25,9.293346938775507
2014,2,Ethiopia,Single,medium,Seasonal,178.5,8.597407407407408
2014,2,Haiti,Single,dark,Evergreen,369.75,25.764444444444454
2014,2,Mexico,Single,medium,Seasonal,4.5,10.22
2014,2,Panama,Single,light,Seasonal,174.25,18.886666666666667
2014,3,Colombia,Single,medium,Seasonal,95.0,9.1
2014,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1605.75,9.166074074074075
2014,3,Ethiopia,Single,medium,Evergreen,185.0,8.205185185185185
2014,3,Ethiopia,Single,medium,Seasonal,205.0,9.103842105263158
2014,3,Haiti,Single,dark,Evergreen,629.5,30.693590551181078
2014,3,Kenya,Single,medium,Seasonal,50.0,8.658
2014,3,Mexico,Single,medium,Seasonal,3.75,8.186666666666666
2014,3,Panama,Single,light,Seasonal,157.5,20.406451612903226
2014,3,Papua New Guinea,Single,light,Seasonal,485.0,7.951927536231887
2014,4,Colombia,Single,medium,Seasonal,90.0,9.1
2014,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1834.0,9.310626566416044
2014,4,Ethiopia,Single,medium,Evergreen,1784.25,8.996351421188637
2014,4,Ethiopia,Single,medium,Seasonal,115.5,8.92280701754386
2014,4,Haiti,Single,dark,Evergreen,572.5,29.382235897435883
2014,4,Kenya,Single,medium,Seasonal,120.0,8.658
2014,4,Panama,Single,light,Seasonal,243.75,22.00518518518517
2014,4,Papua New Guinea,Single,light,Seasonal,48.75,7.946388888888888
2014,5,Colombia,Single,medium,Seasonal,100.0,9.1
2014,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1156.0,10.016126984126982
2014,5,Ethiopia,Single,medium,Evergreen,1292.0,9.194181286549714
2014,5,Ethiopia,Single,medium,Seasonal,439.5,10.243012820512824
2014,5,Haiti,Single,dark,Evergreen,593.75,28.749640624999994
2014,5,Kenya,Single,medium,Seasonal,55.0,8.658
2014,5,Panama,Single,light,Seasonal,12.75,23.56666666666667
2014,6,Colombia,Single,medium,Seasonal,40.0,9.1
2014,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1138.5,9.266566037735847
2014,6,Ethiopia,Single,medium,Evergreen,27.0,9.274666666666667
2014,6,Ethiopia,Single,medium,Seasonal,585.75,9.830650406504057
2014,6,Haiti,Single,dark,Evergreen,623.5,28.434767195767183
2014,7,Colombia,Single,medium,Seasonal,70.0,9.1
2014,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,904.0,9.644148148148144
2014,7,Ethiopia,Single,medium,Seasonal,454.0,9.597589743589745
2014,7,Haiti,Single,dark,Evergreen,555.5,31.08834426229507
2014,7,Kenya,Single,medium,Seasonal,50.0,8.658
2014,7,Mexico,Single,medium,Seasonal,365.5,7.792136752136753
2014,7,Papua New Guinea,Single,light,Seasonal,82.5,7.095777777777777
2014,8,Colombia,Single,medium,Seasonal,75.0,9.1
2014,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1086.75,9.694727891156461
2014,8,Ethiopia,Single,medium,Seasonal,217.75,10.56693333333334
2014,8,Haiti,Single,dark,Evergreen,354.0,32.99904843304843
2014,8,Mexico,Single,medium,Seasonal,431.5,8.397411764705886
2014,8,Papua New Guinea,Single,light,Seasonal,222.25,8.227333333333336
2014,9,Colombia,Single,medium,Seasonal,70.0,9.1
2014,9,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1265.0,9.700739583333334
2014,9,Ethiopia,Single,medium,Seasonal,317.75,9.933121212121213
2014,9,Haiti,Single,dark,Evergreen,478.75,34.152595419847316
2014,9,Mexico,Single,medium,Seasonal,461.75,7.718026315789479
2014,9,Papua New Guinea,Single,light,Seasonal,167.25,9.175644444444448
2014,10,Colombia,Single,medium,Seasonal,125.0,9.1
2014,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,1966.5,7.664831168831173
