year,month,origin,blend,roast_level,type,sales,unit_price
2014,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,33.75,0.0
2014,1,Ethiopia,Single,medium,Seasonal,5.25,0.0
2014,1,Haiti,Single,dark,Evergreen,3.75,0.26666666666666666
2014,1,Mexico,Single,medium,Seasonal,7.5,0.0
2014,1,Panama,Single,light,Seasonal,1.5,0.0
2014,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,83.25,1.3555555555555554
2014,2,Ethiopia,Single,medium,Seasonal,12.75,0.0
2014,2,Panama,Single,light,Seasonal,3.75,0.4444444444444444
2014,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,36.25,0.0
2014,3,Ethiopia,Single,medium,Evergreen,13.5,0.0
2014,3,Ethiopia,Single,medium,Seasonal,12.75,0.0
2014,3,Haiti,Single,dark,Evergreen,6.0,0.2222222222222222
2014,3,Panama,Single,light,Seasonal,22.5,0.0
2014,3,Papua New Guinea,Single,light,Seasonal,14.25,0.0
2014,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,77.75,15.272727272727273
2014,4,Ethiopia,Single,medium,Evergreen,67.5,0.0
2014,4,Ethiopia,Single,medium,Seasonal,4.5,0.0
2014,4,Haiti,Single,dark,Evergreen,15.0,0.0
2014,4,Panama,Single,light,Seasonal,42.0,0.0
2014,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,19.5,0.0
2014,5,Ethiopia,Single,medium,Evergreen,1101.75,2.2244444444444444
2014,5,Ethiopia,Single,medium,Seasonal,24.0,0.0
2014,5,Haiti,Single,dark,Evergreen,6.5,0.0
2014,5,Panama,Single,light,Seasonal,75.75,71.25333333333333
2014,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,23.5,0.0
2014,6,Ethiopia,Single,medium,Evergreen,0.75,0.0
2014,6,Ethiopia,Single,medium,Seasonal,26.25,0.0
2014,6,Haiti,Single,dark,Evergreen,1.5,0.0
2014,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,38.25,0.0
2014,7,Ethiopia,Single,medium,Seasonal,11.25,0.0
2014,7,Haiti,Single,dark,Evergreen,0.75,0.0
2014,7,Mexico,Single,medium,Seasonal,9.0,0.0
2014,7,Papua New Guinea,Single,light,Seasonal,8.25,0.0
2014,8,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,30.0,0.0
2014,8,Ethiopia,Single,medium,Seasonal,18.75,0.0
2014,8,Haiti,Single,dark,Evergreen,4.5,0.0
2014,8,Mexico,Single,medium,Seasonal,24.0,1.1111111111111112
2014,8,Papua New Guinea,Single,light,Seasonal,9.75,0.0
2014,9,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,25.5,0.0
2014,9,Ethiopia,Single,medium,Seasonal,15.0,0.0
2014,9,Haiti,Single,dark,Evergreen,2.25,0.0
2014,9,Mexico,Single,medium,Seasonal,19.5,0.0
2014,9,Papua New Guinea,Single,light,Seasonal,10.5,0.0
2014,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,30.5,0.0
2014,10,Ethiopia,Single,medium,Seasonal,10.5,0.0
2014,10,Guatemala,Single,medium,Seasonal,9.0,0.0
2014,10,Haiti,Single,dark,Evergreen,5.25,0.0
2014,11,Brazil,Single,dark,Seasonal,228.75,0.0
2014,11,Colombia,Single,dark,Evergreen,181.5,0.0
2014,11,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,329.25,0.0
2014,11,Ethiopia,Single,medium,Seasonal,209.25,0.0
2014,11,Guatemala,Single,medium,Seasonal,166.5,0.0
2014,11,Haiti,Single,dark,Evergreen,178.5,0.0
2014,11,Panama,Single,light,Seasonal,12.25,0.0
2014,11,Zambia,Single,dark,Seasonal,61.5,0.0
2014,12,Brazil,Single,dark,Seasonal,387.75,0.0
2014,12,Colombia,Single,dark,Evergreen,1623.5,0.0
2014,12,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,527.75,0.0
2014,12,Guatemala,Single,medium,Seasonal,246.0,0.0
2014,12,Haiti,Single,dark,Evergreen,345.75,0.0
2014,12,Haiti,Single,dark,Seasonal,34.5,0.022222222222222223
2014,12,Kenya,Single,medium,Seasonal,217.25,0.0
2014,12,Panama,Single,light,Seasonal,12.5,0.0
2014,12,Zambia,Single,dark,Seasonal,260.25,0.0
2015,1,Brazil,Single,dark,Seasonal,191.0,0.0
2015,1,Colombia,Single,dark,Evergreen,1018.5,0.0
2015,1,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,268.5,0.01702127659574468
2015,1,Guatemala,Single,medium,Seasonal,102.0,0.0
2015,1,Haiti,Single,dark,Evergreen,134.25,0.0
2015,1,Haiti,Single,dark,Seasonal,64.5,0.0
2015,1,Kenya,Single,medium,Seasonal,302.75,0.0
2015,1,Panama,Single,light,Seasonal,4.0,0.0
2015,1,Zambia,Single,dark,Seasonal,556.0,0.0
2015,2,Brazil,Single,dark,Seasonal,217.5,0.0
2015,2,Colombia,Single,dark,Evergreen,1178.25,0.0
2015,2,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,349.25,0.0
2015,2,Ethiopia,Single,medium,Evergreen,2.25,0.0
2015,2,Guatemala,Single,medium,Seasonal,130.5,0.0
2015,2,Haiti,Single,dark,Evergreen,196.5,0.0
2015,2,Haiti,Single,dark,Seasonal,297.75,0.0
2015,2,Kenya,Single,medium,Seasonal,291.25,0.0
2015,2,Panama,Single,light,Seasonal,2.5,0.0
2015,2,Zambia,Single,dark,Seasonal,633.25,0.0
2015,3,Brazil,Single,dark,Seasonal,329.25,0.0
2015,3,Colombia,Single,dark,Evergreen,970.25,0.0
2015,3,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,421.75,0.0
2015,3,Ethiopia,Single,medium,Evergreen,885.25,0.0
2015,3,Haiti,Single,dark,Evergreen,261.0,0.2727272727272727
2015,3,Haiti,Single,dark,Seasonal,23.25,2.25
2015,3,Kenya,Single,medium,Seasonal,83.25,0.0
2015,3,Panama,Single,light,Seasonal,19.0,0.0
2015,3,Zambia,Single,dark,Seasonal,891.75,0.0
2015,4,Brazil,Single,dark,Seasonal,417.25,0.0
2015,4,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,428.25,0.0
2015,4,Ethiopia,Single,medium,Evergreen,1401.5,0.0
2015,4,Haiti,Single,dark,Evergreen,237.0,0.0
2015,4,Kenya,Single,medium,Seasonal,2.25,0.0
2015,4,Panama,Single,light,Seasonal,47.5,0.0
2015,4,Zambia,Single,dark,Seasonal,979.0,0.0
2015,5,Brazil,Single,dark,Seasonal,315.5,0.0
2015,5,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,342.25,0.0
2015,5,Ethiopia,Single,medium,Evergreen,1343.5,0.0
2015,5,Ethiopia,Single,medium,Seasonal,3.0,0.0
2015,5,Panama,Single,light,Seasonal,50.5,0.0
2015,5,Yemen,Single,medium,Seasonal,2.25,0.0
2015,5,Zambia,Single,dark,Seasonal,501.75,0.0
2015,6,Brazil,Single,dark,Seasonal,63.0,0.0
2015,6,Colombia,Single,dark,Evergreen,210.0,0.0
2015,6,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,358.25,0.0
2015,6,Ethiopia,Single,medium,Evergreen,1330.5,0.0
2015,6,Ethiopia,Single,medium,Seasonal,357.0,0.0
2015,6,Haiti,Single,dark,Seasonal,3.75,0.0
2015,6,"Kenya, Colombia",Blend,medium,Evergreen,27.75,0.0
2015,6,Panama,Single,light,Seasonal,36.0,0.0
2015,6,Yemen,Single,medium,Seasonal,183.75,0.0
2015,6,Zambia,Single,dark,Seasonal,198.0,0.0
2015,7,Brazil,Single,dark,Seasonal,6.5,0.0
2015,7,Colombia,Single,dark,Evergreen,378.75,0.0
2015,7,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,429.25,0.0
2015,7,Ethiopia,Single,medium,Evergreen,1405.5,0.0
2015,7,Ethiopia,Single,medium,Seasonal,504.5,0.0
2015,7,Haiti,Single,dark,Seasonal,5.25,0.0
2015,7,"Kenya, Colombia",Blend,medium,Evergreen,24.75,0.0
2015,7,Panama,Single,light,Seasonal,28.5,0.0
2015,7,Yemen,Single,medium,Seasonal,97.5,0.0
